Designator,Footprint,Quantity,Value,LCSC Part #
BT1,PowerPad,1,Battery 2-6s,
C1,0805,1,10uF,C440198
"C10, C14, C15, C16, C20, C21, C22, C23, C27, C28",0402,10,0.1uF,C307331
"C11, C12, C13, C17, C18, C19, C24, C25, C26, C29, C30, C31",0402,12,1uF,C52923
"C2, C9",0603,2,10uF,C96446
"C3, C4, C5, C6, C7, C8",1206,6,10uF,C13585
"D1, D10, D11, D12, D2, D3, D4, D5, D6, D7, D8, D9",D_SOD-923,12,T4,C510311
"H1, H4, H6, H8",TestPoint,4,C2CK,
"H2, H5, H7, H9",TestPoint,4,C2D,
H3,ESC Header,1,ESC Header,
"M1, M2, M3, M4",MotorPad,4,BLDC Motor,
"Q1, Q10, Q11, Q12, Q13, Q14, Q15, Q16, Q17, Q18, Q19, Q2, Q20, Q21, Q22, Q23, Q24, Q3, Q4, Q5, Q6, Q7, Q8, Q9",DFN-8_L3.2-W3.1-P0.65-LS3.4-BL,24,JMSL0302AU,C2890409
"R1, R20, R25, R30, R38, R43, R48, R54, R59, R6, R64, R9",0402,12,10k,C25744
"R10, R19, R24, R29, R3, R33, R37, R42, R47, R5, R51, R53, R58, R63, R67, R8",0402,16,1k,C11702
"R11, R12, R13, R14, R15, R16, R21, R22, R26, R27, R31, R32, R39, R40, R44, R45, R49, R50, R55, R56, R60, R61, R65, R66",0402,24,10,C25077
R17,R2512,1,HOYLR2512E,C5375456
"R18, R2, R23, R28, R36, R4, R41, R46, R52, R57, R62, R7",0402,12,4.7k,C25900
"R34, R35",0402,2,39k,C25783
U1,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,1,HT75C0-1,C64551
"U10, U4, U5, U8",QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,4,EG6288,C55058511
"U11, U3, U6, U9",QFN-20_L3.0-W3.0-P0.50-BL-EP1.7_EFM8BB21F16G,4,EFM8BB21F16G,C80713
U2,SOT-89-3_L4.5-W2.5-P1.50-LS4.2-BR,1,HT7533-1,C14289
U7,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,INA139NA,C129947
