Designator,Mid X,Mid Y,Rotation,Layer
BT1,155.43,-116.3,0.0,top
C1,154.68,-94.2,0.0,bottom
C10,158.175,-103.24,0.0,top
C11,161.52,-107.257706,180.0,bottom
C12,161.52,-104.798765,180.0,bottom
C13,161.52,-102.339824,180.0,bottom
C14,155.43,-107.69,0.0,bottom
C15,155.43,-102.365,0.0,bottom
C16,158.175,-96.74,0.0,top
C17,161.52,-99.880882,180.0,bottom
C18,161.52,-97.421941,180.0,bottom
C19,161.52,-94.963,180.0,bottom
C2,160.35,-91.52,90.0,bottom
C20,156.585,-108.19,0.0,top
C21,157.81,-108.64,90.0,top
C22,155.43,-108.52,0.0,bottom
C23,152.685,-107.16,180.0,top
C24,149.339824,-104.016647,0.0,bottom
C25,149.339824,-106.476824,0.0,bottom
C26,149.339824,-108.937,0.0,bottom
C27,155.43,-101.535,0.0,bottom
C28,152.685,-100.66,180.0,top
C29,149.339824,-96.636118,0.0,bottom
C3,150.33,-111.74,270.0,bottom
C30,149.339824,-99.096294,0.0,bottom
C31,149.339824,-101.556471,0.0,bottom
C4,148.83,-110.74,270.0,top
C5,151.13,-110.74,270.0,top
C6,162.03,-110.74,90.0,top
C7,159.73,-110.74,90.0,top
C8,160.53,-111.74,90.0,bottom
C9,158.055,-93.91,0.0,bottom
D1,161.52,-108.877,180.0,bottom
D10,149.339824,-95.016,0.0,bottom
D11,149.339824,-97.476176,0.0,bottom
D12,149.339824,-99.936353,0.0,bottom
D2,161.52,-106.418059,180.0,bottom
D3,161.52,-103.959118,180.0,bottom
D4,161.52,-101.500176,180.0,bottom
D5,161.52,-99.041235,180.0,bottom
D6,161.52,-96.582294,180.0,bottom
D7,149.339824,-102.396529,0.0,bottom
D8,149.339824,-104.856706,0.0,bottom
D9,149.339824,-107.316882,0.0,bottom
H1,156.4,-102.48,0.0,top
H2,155.67,-102.51,0.0,top
H3,155.43,-89.685,180.0,top
H4,156.58,-96.09,0.0,top
H5,155.86,-96.0,0.0,top
H6,155.47,-108.36,0.0,top
H7,155.49,-107.64,0.0,top
H8,154.22,-101.27,0.0,top
H9,155.12,-101.3,0.0,top
M1,169.48,-106.3,90.0,top
M2,169.48,-97.6,90.0,top
M3,141.38,-106.3,270.0,top
M4,141.38,-97.6,270.0,top
Q1,163.03,-115.62,180.0,bottom
Q10,165.93,-96.03,180.0,top
Q11,163.03,-88.28,180.0,bottom
Q12,163.03,-88.28,180.0,top
Q13,144.93,-103.923333,0.0,bottom
Q14,144.93,-103.923,0.0,top
Q15,144.93,-107.87,0.0,bottom
Q16,144.93,-107.87,0.0,top
Q17,147.83,-115.62,0.0,bottom
Q18,147.83,-115.62,0.0,top
Q19,147.83,-88.28,0.0,bottom
Q2,163.03,-115.62,180.0,top
Q20,147.83,-88.28,0.0,top
Q21,144.93,-96.03,0.0,bottom
Q22,144.93,-96.03,0.0,top
Q23,144.93,-99.976667,0.0,bottom
Q24,144.93,-99.977,0.0,top
Q3,165.93,-107.87,180.0,bottom
Q4,165.93,-107.87,180.0,top
Q5,165.93,-103.923333,180.0,bottom
Q6,165.93,-103.923,180.0,top
Q7,165.93,-99.976667,180.0,bottom
Q8,165.93,-99.977,180.0,top
Q9,165.93,-96.03,180.0,bottom
R1,162.4,-106.808,270.0,top
R10,156.635,-103.24,180.0,top
R11,161.52,-108.037353,0.0,bottom
R12,158.57,-101.95,270.0,bottom
R13,161.52,-105.578412,0.0,bottom
R14,157.74,-101.9,270.0,bottom
R15,161.52,-103.119471,0.0,bottom
R16,156.91,-101.95,270.0,bottom
R17,155.43,-111.09,0.0,bottom
R18,162.4,-94.513,270.0,top
R19,162.4,-96.973,270.0,top
R2,162.4,-101.891,270.0,top
R20,162.4,-99.432,270.0,top
R21,161.52,-100.660529,0.0,bottom
R22,159.03,-95.45,270.0,bottom
R23,161.52,-94.513,270.0,top
R24,161.52,-96.973,270.0,top
R25,161.52,-99.432,270.0,top
R26,161.52,-98.201588,0.0,bottom
R27,158.2,-95.45,270.0,bottom
R28,160.64,-94.513,270.0,top
R29,160.64,-96.973,270.0,top
R3,162.4,-104.349,270.0,top
R30,160.64,-99.432,270.0,top
R31,161.52,-95.742647,0.0,bottom
R32,157.37,-95.45,270.0,bottom
R33,156.635,-96.74,180.0,top
R34,154.26,-108.04,180.0,top
R35,154.95,-93.38,180.0,top
R36,148.46,-106.927,90.0,top
R37,148.46,-104.467,90.0,top
R38,148.46,-102.006,90.0,top
R39,149.339824,-103.236588,180.0,bottom
R4,161.52,-101.891,270.0,top
R40,151.83,-108.45,90.0,bottom
R41,149.34,-106.927,90.0,top
R42,149.34,-104.467,90.0,top
R43,149.34,-102.006,90.0,top
R44,149.339824,-105.696765,180.0,bottom
R45,152.66,-108.45,90.0,bottom
R46,150.22,-106.927,90.0,top
R47,150.22,-104.467,90.0,top
R48,150.22,-102.006,90.0,top
R49,149.339824,-108.156941,180.0,bottom
R5,161.52,-104.349,270.0,top
R50,153.49,-108.45,90.0,bottom
R51,154.225,-107.16,0.0,top
R52,148.46,-99.546,90.0,top
R53,148.46,-97.086,90.0,top
R54,148.46,-94.626,90.0,top
R55,149.339824,-95.856059,180.0,bottom
R56,152.29,-101.95,90.0,bottom
R57,149.34,-99.546,90.0,top
R58,149.34,-97.086,90.0,top
R59,149.34,-94.626,90.0,top
R6,161.52,-106.808,270.0,top
R60,149.339824,-98.316235,180.0,bottom
R61,153.12,-102.0,90.0,bottom
R62,150.22,-99.546,90.0,top
R63,150.22,-97.086,90.0,top
R64,150.22,-94.626,90.0,top
R65,149.339824,-100.776412,180.0,bottom
R66,153.95,-101.95,90.0,bottom
R67,154.225,-100.66,0.0,top
R7,160.64,-101.891,270.0,top
R8,160.64,-104.349,270.0,top
R9,160.64,-106.808,270.0,top
U1,152.45,-91.2,90.0,bottom
