Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C15, C19, C22, C24, C25, C26, C29, C30, C33, C34, C35, C36, C37, C39, C40, C41, C42, C5",0402,23,0.1uF,C307331
"C12, C23, C38",0402,3,10uF,C15525
"C16, C17, C31, C32",0402,4,10pF,C32949
"C18, C20, C8, C9",0402,4,10nF,C15195
"C2, C3, C6, C7",0603,4,10uF,C96446
C21,0402,1,470nF,C47339
"C27, C28",0805,2,22uF,C45783
C4,1206,1,4.7uF,C29823 
D1,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,1,USBLC6-2SC6,C7519
D2,LED0805-RD,1,RED,C84256
D3,LED0805-R-RD,1,GREEN,C2297
D4,D_SOD-123,1,1N4148W,
H1,Buzzer Pad,1,~,
H10,SWCLK TP,1,~,
H11,SWDIO TP,1,~,
H12,SWD_BOOT TP,1,~,
H13,SWD_RST TP,1,~,
H14,Power Pad,1,~,
H2,ESC Header,1,~,
H3,Camera Pad,1,~,
H4,VTX Pad,1,~,
H5,GPS Pad,1,~,
H6,UART5 PAD,1,~,
H7,UART3 PAD,1,~,
H8,ELRS_RX TP,1,~,
H9,ELRS_TX TP,1,~,
Q1,SOT-23,1,2N7002,
"R1, R14, R15, R16, R19, R25, R4, R6, R8, R9",0402,10,12k,C25752
"R10, R11, R17, R18, R21, R22",0402,6,5.1k,C25905
"R12, R13",0402,2,75,C25133
R2,0402,1,15k,C25756
R20,0402,1,1.5k,C25867
R23,0603,1,91k,C23265
R3,0402,1,2k,C4109
U1,QFN-48_L6.0-W6.0-P0.40-TL-EP3.2,1,AT32F435CGU7,C5178937
U17,QFN-24_L3.0-W3.0-P0.40-BL-EP,1,MPU6500,C50278
U18,SOT-23-6_L2.9-W1.6-P0.95-LS2.9-BL,1,LMR51420,C5383002
U2,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,1,ESP8285H16,C967019
U3,SOIC-8_L5.3-W5.3-P1.27-LS8.0-BL,1,W25Q128JVSIQTR,C97521
U4,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BL,1,SPX3819,C9055
U5,QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,1,SX1281IMLTRT,C2151551
U6,LGA-10_L2.0-W2.0-P0.50-BL,1,BMP388,C54582187
U7,IND-SMD_L4.4-W4.2,1,4.7uH,C5349668
U8,TSSOP-28_L9.7-W4.4-P0.65-LS6.4-BL-EP-2,1,AT7456E,C82351
USB1,USB-TYPE-C-SMD_TYPE-C-16P-QTWT,1,TYPE-C 16PIN 2MD(073),C2765186
X1,CRYSTAL-SMD_4P-L3.2-W2.5-BL,1,8MHz,C400090
X2,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,27MHz,C648950
X3,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,26MHz,C19272774
X4,CRYSTAL-SMD_4P-L2.0-W1.6-BL,1,52MHz,C3034316
