Designator,Mid X,Mid Y,Rotation,Layer
Q1,153.4,-80.7,0.0,bottom
Q10,123.42,-90.12,180.0,bottom
Q11,139.18,-96.22,90.0,bottom
Q12,123.32,-82.88,0.0,top
Q13,139.12,-96.22,90.0,top
Q14,153.2,-77.1,180.0,top
Q15,139.1,-67.0,270.0,bottom
Q16,142.6,-66.8,270.0,bottom
Q17,146.1,-66.8,270.0,bottom
Q18,139.0,-66.9,270.0,top
Q19,135.58,-96.22,90.0,bottom
Q2,123.25,-86.4,180.0,bottom
Q20,153.4,-73.6,180.0,top
Q21,153.3,-77.2,0.0,bottom
Q22,142.5,-66.7,270.0,top
Q23,146.1,-66.7,270.0,top
Q24,153.4,-80.7,180.0,top
Q3,131.92,-96.32,90.0,bottom
Q4,123.28,-86.38,0.0,top
Q5,123.38,-90.18,0.0,top
Q6,135.58,-96.22,90.0,top
Q7,131.88,-96.32,90.0,top
Q8,153.4,-73.6,0.0,bottom
Q9,123.32,-82.92,180.0,bottom
R1,132.4,-68.4,180.0,bottom
U1,131.8,-86.8,90.0,top
U10,134.8,-77.9,0.0,bottom
U11,140.2,-89.6,90.0,bottom
U12,140.4,-74.0,90.0,bottom
U13,128.8,-75.67,90.0,bottom
U14,145.7,-75.9,0.0,bottom
U15,133.7,-86.3,0.0,bottom
U16,128.6,-90.4,0.0,bottom
U17,138.249975,-81.553751,90.0,top
U2,152.3,-87.1,90.0,top
U3,127.8825,-73.5,180.0,top
U4,124.6725,-76.8045,180.0,top
U5,144.8,-96.2,90.0,top
U6,140.7,-74.349,0.0,top
U7,133.1,-75.1,0.0,top
U8,144.73,-87.32,0.0,top
U9,139.7,-82.6,90.0,bottom
X1,131.3,-80.75,0.0,top
X2,123.4,-73.0,0.0,top
X3,154.1,-65.9,0.0,top
X4,154.0,-97.5,0.0,top
