Designator,Mid X,Mid Y,Rotation,Layer
C1,132.45,-62.49,90.0,top
C10,137.16,-74.83,90.0,top
C11,137.17,-76.41,0.0,top
C12,140.6,-87.48,180.0,top
C13,139.54,-88.44,180.0,top
C14,131.66,-85.73,45.0,top
C15,134.06,-81.17,180.0,top
C16,134.59,-79.71,270.0,top
C17,136.43,-78.4,0.0,top
C18,143.9,-81.85,180.0,top
C19,141.35,-76.39,225.0,top
C2,134.725,-64.58,180.0,bottom
C20,144.37,-80.71,180.0,top
C21,146.63,-81.84,180.0,top
C22,137.91,-78.0,270.0,top
C23,151.29,-67.74,0.0,top
C24,151.28,-66.67,0.0,top
C25,145.69,-67.76,180.0,top
C26,137.96,-60.66,0.0,top
C27,145.78,-62.01,270.0,top
C28,148.52,-67.55,180.0,top
C29,145.21,-64.81,90.0,top
C3,138.05,-60.5,270.0,bottom
C30,145.68,-66.71,180.0,top
C31,128.49,-79.91,270.0,top
C32,133.58,-79.72,90.0,top
C33,134.43,-78.26,180.0,top
C34,127.92,-77.05,90.0,top
C35,128.88,-69.33,0.0,top
C36,135.93,-69.13,180.0,top
C37,129.92,-77.9,180.0,top
C38,152.31,-65.69,180.0,top
C39,152.74,-67.18,90.0,top
C4,130.74,-67.23,152.5,bottom
C40,129.72,-66.82,0.0,top
C41,129.72,-67.81,0.0,top
C42,145.49,-74.74,180.0,top
C5,135.67,-59.54,0.0,top
C6,144.92,-77.54,180.0,top
C7,144.57,-71.49,180.0,top
C8,141.08,-71.49,180.0,top
C9,139.26,-76.4,180.0,top
D1,142.16,-69.4875,90.0,bottom
D2,152.45,-80.94,0.0,top
D3,127.95,-67.23,270.0,top
D4,135.3375,-79.58,0.0,bottom
FL1,141.1,-83.395,270.0,top
H1,125.35,-80.85,90.0,bottom
H10,127.56,-71.04,0.0,bottom
H11,131.09,-71.27,0.0,bottom
H12,129.525,-74.825,0.0,bottom
H13,128.44,-78.74,45.0,bottom
H14,153.65,-80.07,270.0,bottom
H2,149.94,-74.18,90.0,top
H3,142.01,-59.85,180.0,top
H4,142.81,-59.85,180.0,bottom
H5,125.35,-68.375,90.0,top
H6,125.35,-78.55,90.0,top
H7,125.35,-74.775,270.0,bottom
H8,134.32,-76.03,315.0,bottom
H9,135.12,-76.83,0.0,bottom
J1,144.17,-84.81,270.0,top
Q1,130.6375,-78.025,180.0,bottom
R1,132.53,-77.9,180.0,top
R10,149.19,-81.21,0.0,top
R11,149.19,-80.18,0.0,top
R12,137.97,-59.64,180.0,top
R13,147.46,-60.41,90.0,top
R14,127.48,-79.93,270.0,top
R15,135.95,-70.12,0.0,top
R16,153.76,-67.51,90.0,top
R17,152.37,-82.32,0.0,top
R18,127.44,-69.52,90.0,top
R19,135.65,-77.875,180.0,bottom
R2,131.98,-60.02,0.0,top
R20,133.75,-77.0,45.0,bottom
R21,131.61,-66.8,270.0,top
R22,133.13,-66.34,0.0,top
R23,144.92,-76.0,180.0,top
R25,144.06,-74.27,90.0,top
R3,131.99,-61.03,180.0,top
R4,131.74,-87.04,45.0,top
R6,132.05,-88.1,45.0,top
R8,139.18,-86.59,270.0,top
R9,127.69,-81.88,225.0,top
U1,131.62,-73.66,180.0,top
U17,139.5,-74.0,270.0,top
U18,134.77,-61.55,270.0,top
U2,135.47,-84.64,90.0,top
U3,142.01,-64.35,180.0,bottom
U4,144.46,-74.42,180.0,bottom
U5,140.85,-79.88,270.0,top
U6,133.12,-64.68,270.0,top
U7,134.31,-61.64,0.0,bottom
U8,140.78,-66.11,180.0,top
USB1,149.69,-71.75,270.0,bottom
X1,131.02,-80.04,180.0,top
X2,135.66,-64.69,90.0,top
X3,136.41,-80.09,0.0,top
X4,146.5,-79.9,90.0,top
