Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C13, C14, C15, C19, C22, C24, C25, C26, C29, C30, C33, C34, C35, C36, C37, C39, C40, C41, C42, C5",0402,23,0.1uF,C307331
"C12, C23, C38",0402,3,10uF,C15525
"C16, C17, C31, C32",0402,4,10pF,C32949
"C18, C20, C8",0402,3,10nF,C15195
"C2, C3, C6, C7",0603,4,10uF,C96446
C21,0402,1,470nF,C47339
"C27, C28",0805,2,22uF,C45783
D2,LED0805-RD,1,RED,C84256
D3,LED0805-R-RD,1,GREEN,C2297
"R1, R14, R15, R16, R19, R25, R4, R6, R8, R9",0402,10,12k,C25752
"R10, R11, R17, R18, R21, R22",0402,6,5.1k,C25905
"R12, R13",0402,2,75,C25133
R2,0402,1,15k,C25756
R23,0603,1,91k,C23265
R3,0402,1,2k,C4109
U1,QFN-48_L6.0-W6.0-P0.40-TL-EP3.2,1,AT32F435CGU7,C5178937
U17,LGA-14_L3.0-W2.5-P0.50-TL,1,LSM6DSK320XTR,C53025794
U2,QFN-32_L5.0-W5.0-P0.50-TL-EP3.7,1,ESP8285H16,C967019
U5,QFN-24_L4.0-W4.0-P0.50-TL-EP2.6,1,SX1281IMLTRT,C2151551
U6,LGA-10_L2.0-W2.0-P0.50-BL,1,BMP388,C54582187
